Src,Dst,Time
179,218,1082889202
88,157,1082889561
164,188,1082889744
163,43,1082889746
179,163,1082889800
179,163,1082889893
135,81,1082889910
202,43,1082889912
220,163,1082890119
220,163,1082890229
220,217,1082890272
202,88,1082890344
202,43,1082890453
11,83,1082890594
202,88,1082890705
202,88,1082890779
2,123,1082890791
202,88,1082891353
202,88,1082891427
96,46,1082891732
135,28,1082891807
32,204,1082892015
202,88,1082892318
135,43,1082892909
135,43,1082893197
202,88,1082893221
135,221,1082894381
182,187,1082898283
182,193,1082898359
28,135,1082916711
209,135,1082922014
182,193,1082924527
157,88,1082925314
57,118,1082925927
40,196,1082926341
37,28,1082928441
8,224,1082929648
225,179,1082929848
210,90,1082930135
194,210,1082932458
214,81,1082933693
118,57,1082935467
134,88,1082935814
8,216,1082936101
8,165,1082936128
57,118,1082936805
28,81,1082936843
194,214,1082937060
81,28,1082937580
28,81,1082937803
226,227,1082937885
164,227,1082938175
164,227,1082938396
194,213,1082939235
81,28,1082939473
28,81,1082940004
228,57,1082940059
37,229,1082940866
88,157,1082940878
96,165,1082943527
96,79,1082943650
195,230,1082944891
37,90,1082945103
228,57,1082945257
195,30,1082945287
195,230,1082945495
164,57,1082945596
195,30,1082945648
195,30,1082946058
135,226,1082946205
191,45,1082946226
96,57,1082946267
195,230,1082946633
153,7,1082950430
195,30,1082950910
40,81,1082951104
40,81,1082951300
40,43,1082951438
231,7,1082951480
7,231,1082951551
0,232,1082953823
134,28,1082955515
191,234,1082956140
46,43,1082956481
235,70,1082956655
157,88,1082957133
17,46,1082957685
45,237,1082957918
237,45,1082958043
191,239,1082958047
17,46,1082958105
96,237,1082958123
240,231,1082958138
191,45,1082958356
237,45,1082958564
37,233,1082958864
191,45,1082958883
191,45,1082958919
191,45,1082959053
191,45,1082959263
191,45,1082959303
56,197,1082959336
241,147,1082959529
37,242,1082960053
191,45,1082960057
237,45,1082960659
191,45,1082960672
89,5,1082960820
191,45,1082960837
191,45,1082960973
32,5,1082961076
191,43,1082961392
191,243,1082961699
11,237,1082961879
240,179,1082961929
11,94,1082962022
191,45,1082962153
191,43,1082962262
191,45,1082962447
45,244,1082962531
191,43,1082962575
237,45,1082962615
245,140,1082962676
57,118,1082963055
191,43,1082963303
195,5,1082963598
11,163,1082963984
96,244,1082963990
164,246,1082964847
88,157,1082965334
164,247,1082966014
63,248,1082966219
63,248,1082966429
63,248,1082966689
249,250,1082966813
43,233,1082966852
251,43,1082967462
195,43,1082967716
96,247,1082967931
195,43,1082968173
240,220,1082968223
195,43,1082969098
94,30,1082969638
253,7,1082969738
18,252,1082969776
18,252,1082969785
240,254,1082970044
8,126,1082970857
94,62,1082971275
237,118,1082971353
96,46,1082971457
187,256,1082971533
187,237,1082971702
237,118,1082971984
57,118,1082972379
248,94,1082972614
62,94,1082972625
164,94,1082972650
237,118,1082972760
254,62,1082973381
37,257,1082973474
164,260,1082973512
37,257,1082973742
164,261,1082974060
164,155,1082974144
11,94,1082974280
202,61,1082974303
11,94,1082974386
61,233,1082974526
11,94,1082974579
202,61,1082974962
32,262,1082975725
94,28,1082976041
177,123,1082977240
202,203,1082977768
169,168,1082979777
169,165,1082979788
169,165,1082979801
237,264,1082980899
217,220,1082984436
197,45,1082999612
191,72,1083003512
191,203,1083003589
52,187,1083003991
40,267,1083004997
63,269,1083007302
63,97,1083007346
8,237,1083008168
32,268,1083011135
45,270,1083011411
98,126,1083014060
268,28,1083016090
191,62,1083016582
191,72,1083016708
271,272,1083016814
191,261,1083017396
240,254,1083017863
5,203,1083017914
273,179,1083018944
64,115,1083019152
28,268,1083020491
191,274,1083022164
270,45,1083022276
202,203,1083023508
194,242,1083024166
203,2,1083025217
203,194,1083025931
23,203,1083026148
276,46,1083027132
254,44,1083028488
131,115,1083029836
172,28,1083030012
181,214,1083030013
28,172,1083030163
28,172,1083030264
28,172,1083030405
8,275,1083030944
278,129,1083031145
265,45,1083032211
265,194,1083032265
237,45,1083032516
237,194,1083032603
237,169,1083032703
57,277,1083032793
279,270,1083033278
191,62,1083033436
254,230,1083035131
195,194,1083035238
191,62,1083035536
94,28,1083036179
195,210,1083037271
210,112,1083037809
61,123,1083038046
210,55,1083038176
105,115,1083038647
45,270,1083038988
45,265,1083039195
254,160,1083039328
193,275,1083039452
61,163,1083039858
2,144,1083040542
283,5,1083040579
283,45,1083040803
5,275,1083040855
254,45,1083041045
283,5,1083041232
254,72,1083041256
258,284,1083041513
283,5,1083041550
278,181,1083041845
283,5,1083042202
54,284,1083042284
54,284,1083042290
54,284,1083042293
54,284,1083042296
134,61,1083042564
284,54,1083042622
195,193,1083042629
278,181,1083042689
177,278,1083042906
181,278,1083042930
258,278,1083043079
181,278,1083043278
195,30,1083043534
254,172,1083043880
254,172,1083044172
8,275,1083044490
112,210,1083044794
284,54,1083045016
32,194,1083045130
279,195,1083045343
32,144,1083045391
181,278,1083045403
194,119,1083045796
32,194,1083045812
272,57,1083046108
8,7,1083046581
119,45,1083046587
182,123,1083046681
270,45,1083046737
119,45,1083046855
270,45,1083046856
8,7,1083046954
227,260,1083046991
119,217,1083047094
258,278,1083047192
8,275,1083047269
119,45,1083047351
119,45,1083047473
96,275,1083047721
240,284,1083047970
8,7,1083048049
290,284,1083048108
254,179,1083048142
195,45,1083048203
254,179,1083048364
8,7,1083048388
8,275,1083048537
96,275,1083048646
96,275,1083048866
181,257,1083049022
195,45,1083049049
258,278,1083049258
279,274,1083049431
195,45,1083049455
240,292,1083049459
45,53,1083049532
240,291,1083049576
119,194,1083049589
263,203,1083049799
8,291,1083049863
57,272,1083050023
8,292,1083050074
290,45,1083050197
195,45,1083050222
119,217,1083050292
8,292,1083050322
290,43,1083050322
290,30,1083050384
263,30,1083050435
131,115,1083050465
191,62,1083050540
290,30,1083050659
290,30,1083050820
164,287,1083051145
8,7,1083051161
164,275,1083051243
164,295,1083051270
164,276,1083051310
259,61,1083051363
8,7,1083051420
265,44,1083051546
210,112,1083051548
294,115,1083051565
259,30,1083051590
195,5,1083051630
266,195,1083051760
231,284,1083051851
76,289,1083051910
96,294,1083051932
131,115,1083051980
30,294,1083052109
273,30,1083052114
135,265,1083052138
196,143,1083052157
195,5,1083052166
32,275,1083052376
284,231,1083052485
94,172,1083052500
8,7,1083052516
194,265,1083052594
87,296,1083052599
259,196,1083052599
294,115,1083052624
32,194,1083052634
265,194,1083052650
294,30,1083052680
135,267,1083053076
23,182,1083053076
8,28,1083053191
8,7,1083053230
164,214,1083053234
115,294,1083053318
164,28,1083053336
40,92,1083053358
135,43,1083053372
294,30,1083053687
294,30,1083053742
294,115,1083053756
164,28,1083053785
195,30,1083053810
8,292,1083054026
297,135,1083054061
135,92,1083054096
37,172,1083054375
61,28,1083054475
8,275,1083054608
8,237,1083054617
8,123,1083054686
135,92,1083054768
135,298,1083054880
40,92,1083055071
258,299,1083055126
92,135,1083055155
135,181,1083055198
135,92,1083055286
88,46,1083055317
46,88,1083055368
96,300,1083055543
96,300,1083055714
273,301,1083055773
40,275,1083055886
273,30,1083055973
54,284,1083055973
135,92,1083056032
45,300,1083056097
144,57,1083056124
273,301,1083056136
45,300,1083056179
57,144,1083056210
45,300,1083056250
300,45,1083056278
258,135,1083056320
45,300,1083056368
135,181,1083056373
61,57,1083056419
135,92,1083056517
45,300,1083056573
135,181,1083056623
299,30,1083056649
57,61,1083056718
135,181,1083056788
273,301,1083056790
135,92,1083056900
300,45,1083057014
273,301,1083057091
135,43,1083057129
30,300,1083057135
295,30,1083057168
43,135,1083057181
295,301,1083057193
30,81,1083057207
195,45,1083057216
135,92,1083057286
273,301,1083057466
191,62,1083057538
300,45,1083057715
46,304,1083057875
258,135,1083057892
45,300,1083057935
300,305,1083057936
195,45,1083057965
300,45,1083058191
195,45,1083058197
96,300,1083058351
8,90,1083058361
8,294,1083058393
119,305,1083058456
8,71,1083058474
34,46,1083058505
8,46,1083058560
8,306,1083058672
8,79,1083058711
45,307,1083058818
34,265,1083058828
45,300,1083058896
34,265,1083059026
11,157,1083059027
119,300,1083059426
289,71,1083059560
34,265,1083059583
45,300,1083059670
300,45,1083059686
279,292,1083059728
34,265,1083059770
8,292,1083059792
96,300,1083059814
11,265,1083059875
61,83,1083059898
300,45,1083059913
279,292,1083059914
8,265,1083059931
34,265,1083059942
310,119,1083059967
279,292,1083059998
258,299,1083060043
34,265,1083060045
96,300,1083060073
45,300,1083060080
8,292,1083060080
34,265,1083060107
11,265,1083060124
34,265,1083060143
299,258,1083060162
8,265,1083060166
34,265,1083060170
11,265,1083060195
34,265,1083060206
300,45,1083060211
299,258,1083060271
11,265,1083060276
8,90,1083060292
300,45,1083060344
299,258,1083060350
11,265,1083060378
8,259,1083060512
258,299,1083060582
309,295,1083060587
8,265,1083060642
8,265,1083060745
299,258,1083060745
308,258,1083060818
258,299,1083060921
312,291,1083060928
299,258,1083061017
119,300,1083061026
8,265,1083061077
258,299,1083061126
311,30,1083061242
299,258,1083061252
284,309,1083061262
309,284,1083061296
8,265,1083061374
308,258,1083061394
311,30,1083061492
299,258,1083061531
258,299,1083061557
8,265,1083061557
309,305,1083061635
299,258,1083061687
299,309,1083061805
32,69,1083061851
96,300,1083061862
96,292,1083061923
96,300,1083062185
30,289,1083062191
313,237,1083062215
313,258,1083062238
258,231,1083062362
231,258,1083062514
164,287,1083063154
311,30,1083063288
119,305,1083063334
37,284,1083063499
237,314,1083063738
96,300,1083063751
237,314,1083063758
311,30,1083063796
287,284,1083063820
240,287,1083063847
284,287,1083064028
311,30,1083064113
96,287,1083064183
311,179,1083064183
287,44,1083064218
287,284,1083064259
284,287,1083064307
311,179,1083064348
8,287,1083064366
96,300,1083064528
8,284,1083064551
96,287,1083064567
8,284,1083064853
191,315,1083064944
305,300,1083065130
300,305,1083065262
289,30,1083065296
289,30,1083065434
305,300,1083065512
300,305,1083065735
30,289,1083065739
305,300,1083065896
47,30,1083066192
44,287,1083066198
47,316,1083066211
47,284,1083066921
47,281,1083067015
314,295,1083067955
30,289,1083068038
295,309,1083082264
295,314,1083082289
318,237,1083084866
90,314,1083092071
90,179,1083092085
30,275,1083093126
30,275,1083093502
37,111,1083094118
321,294,1083094824
275,30,1083095027
30,275,1083095083
81,135,1083101271
47,284,1083101863
295,309,1083103114
273,81,1083103124
290,88,1083103809
295,314,1083103968
290,43,1083104021
324,7,1083104084
295,314,1083104339
324,295,1083104496
293,284,1083104711
8,214,1083104901
293,284,1083104947
293,284,1083105030
293,284,1083105152
293,284,1083105206
293,284,1083105295
90,314,1083105510
240,284,1083105827
293,284,1083105855
309,295,1083106174
293,240,1083106201
293,240,1083106505
293,231,1083107272
293,231,1083107293
293,231,1083107317
293,231,1083107520
293,231,1083107922
313,231,1083108005
313,231,1083108196
293,179,1083108586
278,231,1083108789
313,258,1083108854
278,231,1083108967
293,240,1083108980
293,231,1083108991
240,258,1083109025
258,240,1083109044
249,240,1083109086
240,231,1083109094
278,231,1083109122
258,240,1083109163
240,258,1083109175
278,231,1083109226
231,278,1083109281
240,258,1083109478
278,231,1083109553
258,240,1083109899
258,240,1083110433
313,258,1083110507
258,240,1083110513
313,258,1083110537
272,57,1083110545
258,240,1083110594
258,240,1083111065
313,258,1083111094
258,284,1083111111
258,231,1083111141
240,258,1083111187
313,258,1083111207
240,258,1083111343
23,172,1083112125
191,172,1083112174
149,66,1083112651
23,172,1083112815
45,300,1083113618
325,275,1083114639
280,210,1083115308
94,192,1083115776
96,125,1083115870
328,231,1083116167
56,329,1083117117
292,240,1083117461
258,292,1083118047
249,292,1083118315
92,324,1083119116
191,172,1083119288
297,214,1083119427
5,230,1083119900
7,324,1083120013
308,258,1083120107
284,258,1083121502
332,333,1083122396
2,45,1083122495
164,94,1083122770
258,284,1083122855
191,172,1083122905
191,248,1083122952
308,284,1083123188
179,218,1083123211
240,28,1083123605
268,28,1083123614
268,66,1083123705
293,284,1083123744
2,45,1083123956
66,268,1083124059
299,316,1083124107
308,240,1083124339
240,292,1083124442
55,98,1083124541
55,98,1083124549
292,240,1083124601
299,258,1083124713
292,240,1083124795
299,258,1083124936
164,55,1083124980
258,299,1083125349
258,299,1083125532
216,179,1083126430
216,240,1083126449
332,333,1083128409
332,119,1083128724
54,182,1083129305
54,182,1083129425
96,335,1083130334
11,335,1083131104
43,290,1083131165
11,292,1083131167
308,292,1083131203
96,335,1083131885
284,313,1083132247
40,284,1083132852
299,258,1083133100
299,179,1083133846
278,258,1083133883
299,95,1083133977
37,284,1083134153
299,179,1083134389
30,289,1083134771
299,81,1083135153
283,43,1083135577
37,28,1083135702
122,273,1083135788
330,292,1083135991
243,44,1083136067
292,284,1083136498
249,240,1083136599
283,43,1083136620
249,292,1083136669
273,324,1083136808
249,292,1083136812
240,292,1083136937
249,237,1083136970
292,240,1083137033
292,240,1083137060
299,258,1083137184
299,258,1083137249
270,315,1083137261
258,299,1083137333
240,292,1083137340
292,240,1083137394
299,258,1083137436
299,81,1083137549
273,324,1083137730
324,90,1083137749
299,258,1083137758
258,299,1083137899
299,258,1083137998
273,324,1083138057
258,299,1083138267
254,284,1083138279
254,336,1083138354
258,299,1083138424
81,299,1083138433
258,299,1083138436
299,81,1083138554
320,119,1083138597
195,194,1083138789
330,292,1083138845
299,258,1083138883
222,193,1083139161
17,278,1083139273
299,258,1083139285
292,284,1083139527
258,278,1083139552
284,292,1083139564
81,299,1083139566
292,284,1083139579
308,258,1083139887
310,339,1083139926
299,258,1083140008
299,81,1083140071
69,289,1083140095
283,258,1083140151
283,231,1083140197
283,258,1083140206
299,69,1083140220
283,231,1083140320
284,231,1083140339
299,81,1083140377
231,284,1083140402
17,340,1083140542
195,69,1083140553
299,115,1083140684
17,340,1083140686
299,69,1083140743
69,289,1083140759
17,340,1083140865
284,54,1083141016
289,69,1083141058
8,284,1083141393
81,333,1083141673
8,284,1083141709
289,69,1083141716
66,313,1083141737
8,287,1083141836
81,333,1083141858
299,69,1083141939
195,81,1083141961
195,206,1083142078
32,69,1083142144
263,342,1083142193
8,259,1083142352
8,333,1083142388
17,340,1083142492
8,333,1083142760
17,340,1083142780
330,292,1083142975
32,336,1083143010
119,217,1083143145
342,343,1083143181
231,258,1083143250
231,258,1083143446
69,289,1083143574
8,195,1083143604
195,69,1083143621
57,68,1083143647
303,135,1083143813
265,343,1083143972
28,57,1083144020
57,28,1083144339
343,265,1083144342
90,303,1083144424
330,292,1083144802
265,343,1083144846
290,43,1083144869
345,282,1083144947
290,88,1083144949
343,265,1083144961
299,346,1083145100
57,68,1083145146
135,260,1083145535
240,292,1083146306
347,284,1083146660
227,260,1083146712
284,347,1083146755
284,347,1083146778
314,135,1083146817
284,258,1083146863
96,292,1083146901
330,292,1083146903
292,330,1083146969
202,203,1083147259
330,292,1083147291
292,330,1083147342
96,340,1083147541
40,162,1083147556
40,346,1083147763
8,345,1083148055
340,88,1083148075
284,258,1083148170
258,284,1083148266
343,316,1083148356
217,119,1083148697
88,340,1083148914
346,350,1083148965
311,66,1083149193
95,90,1083149286
311,144,1083149427
313,66,1083149431
96,349,1083149543
311,81,1083149664
96,352,1083149875
96,340,1083149939
8,343,1083150297
313,66,1083150341
47,281,1083150411
311,144,1083150570
227,349,1083150611
308,327,1083150975
311,91,1083151115
311,343,1083151288
311,91,1083151307
37,345,1083151398
311,44,1083151412
37,355,1083151428
311,340,1083151479
37,356,1083151499
37,319,1083151551
37,357,1083151668
311,343,1083151813
311,343,1083152177
311,343,1083152305
343,182,1083152391
182,343,1083152429
311,66,1083152450
343,182,1083152490
311,343,1083153200
159,50,1083153402
343,285,1083155520
56,95,1083159370
164,352,1083161080
164,352,1083161781
177,333,1083170282
293,287,1083172175
285,343,1083173405
0,137,1083174345
0,94,1083174402
0,26,1083174545
254,337,1083175978
143,50,1083176496
297,143,1083177133
23,203,1083179751
210,290,1083180305
350,44,1083180920
44,350,1083181040
350,44,1083181117
360,361,1083181258
254,350,1083182225
57,28,1083183305
350,179,1083184016
195,350,1083184122
195,350,1083184456
352,28,1083185550
290,43,1083186009
44,350,1083186192
8,165,1083186521
334,135,1083186948
30,340,1083187220
0,26,1083187700
321,336,1083188074
321,322,1083188134
340,72,1083188282
340,287,1083188295
191,348,1083190175
191,274,1083190231
136,81,1083190253
191,274,1083190310
191,274,1083190514
191,274,1083190598
179,350,1083190894
57,181,1083191103
240,352,1083191460
195,206,1083191605
23,172,1083192164
365,324,1083192242
324,365,1083192529
195,206,1083192671
366,357,1083193545
369,7,1083194742
369,7,1083194947
8,365,1083195250
164,370,1083195607
266,366,1083195745
37,365,1083195881
37,301,1083195939
231,352,1083195994
266,365,1083196240
284,347,1083196317
237,360,1083196812
367,240,1083196964
367,240,1083197082
258,284,1083197188
258,284,1083197259
346,90,1083197620
260,237,1083197654
346,90,1083197711
231,352,1083197758
352,231,1083197852
352,231,1083198016
231,352,1083198079
0,371,1083198125
370,231,1083198141
297,370,1083198244
370,231,1083198373
28,352,1083198385
28,57,1083198432
231,370,1083198504
352,231,1083198727
370,231,1083198784
332,370,1083198851
231,370,1083198894
202,347,1083199026
332,352,1083199060
28,352,1083199072
370,231,1083199199
202,56,1083199210
231,370,1083199222
202,231,1083199308
352,231,1083199315
350,179,1083199323
202,56,1083199370
352,28,1083199381
231,352,1083199473
231,352,1083199485
352,231,1083199644
231,352,1083199748
28,370,1083200013
372,193,1083200184
28,352,1083200329
297,370,1083200395
231,352,1083200412
330,292,1083200669
373,370,1083200817
352,28,1083200861
136,81,1083200874
28,352,1083201059
373,356,1083201592
193,370,1083201641
373,117,1083201663
373,349,1083201937
28,52,1083201953
352,28,1083201975
28,352,1083202107
373,53,1083202181
373,360,1083202606
374,28,1083202966
68,370,1083203084
352,68,1083203297
373,140,1083204152
347,284,1083204272
374,28,1083204525
